Feature,Normalized.Dispersion
ENSG00000243485,nan
ENSG00000237613,nan
ENSG00000186092,nan
ENSG00000238009,-1.0294214959417443
ENSG00000239945,-1.0415057915057901
ENSG00000239906,nan
ENSG00000241860,-2.2989557809626655
ENSG00000241599,-2.476021977685606
ENSG00000286448,nan
ENSG00000236601,nan
ENSG00000284733,nan
ENSG00000235146,nan
ENSG00000284662,nan
ENSG00000229905,0.5486957875755805
ENSG00000237491,-1.394417048150755
ENSG00000177757,5.9171361553902
ENSG00000228794,0.29443885321491564
ENSG00000225880,-0.300440285363874
ENSG00000230368,-0.7811194985247596
ENSG00000272438,-1.6871317534405095
ENSG00000230699,nan
ENSG00000241180,nan
ENSG00000223764,nan
ENSG00000187634,-0.2817258225645477
ENSG00000188976,-1.6779336112734475
ENSG00000187961,-0.6583218007012075
ENSG00000187583,-1.5237566617582654
ENSG00000187642,nan
ENSG00000272512,-1.3502499465219917
ENSG00000188290,-0.906432713584804
ENSG00000187608,4.004502296134353
ENSG00000224969,-1.495275639614433
ENSG00000188157,-0.8619008419436817
ENSG00000242590,nan
ENSG00000273443,nan
ENSG00000237330,nan
ENSG00000131591,0.034467552307017514
ENSG00000285812,-0.5173248184075164
ENSG00000223823,-0.3738765206416853
ENSG00000272141,nan
ENSG00000205231,nan
ENSG00000162571,-2.292549070493619
ENSG00000186891,3.1174154004837105
ENSG00000186827,2.3379659059457163
ENSG00000078808,-1.1406255923012938
ENSG00000176022,-0.17934380559372234
ENSG00000184163,-1.42083116732486
ENSG00000260179,-0.6835591155744654
ENSG00000160087,-1.8645994993944113
ENSG00000230415,-0.9508528273824565
ENSG00000162572,0.5966176989040732
ENSG00000131584,0.16361279231878084
ENSG00000169972,0.19712688299632858
ENSG00000127054,-0.9317036349138272
ENSG00000240731,-0.907692307692308
ENSG00000224051,-0.5148589295582825
ENSG00000169962,2.5476843651286525
ENSG00000107404,-0.765135988447297
ENSG00000162576,-0.6252278062255938
ENSG00000175756,0.7178870573938482
ENSG00000221978,-0.8870188533430634
ENSG00000224870,-0.9653019178862039
ENSG00000242485,-1.0230748322929377
ENSG00000272455,-2.2796655377775514
ENSG00000235098,nan
ENSG00000225905,nan
ENSG00000205116,nan
ENSG00000225285,nan
ENSG00000179403,nan
ENSG00000215915,-0.14487696622043306
ENSG00000160072,-0.5374049264308921
ENSG00000197785,-1.629112161858939
ENSG00000205090,1.1898430473547335
ENSG00000160075,3.3313858682003366
ENSG00000215014,-0.793595704274398
ENSG00000228594,-1.1389982696775496
ENSG00000286989,-2.547914605714759
ENSG00000272106,-0.062398910583936436
ENSG00000197530,-0.12768397660386646
ENSG00000189409,-0.7921129342995171
ENSG00000248333,9.816505139337677
ENSG00000272004,-1.1737063470155693
ENSG00000189339,1.1279301005265667
ENSG00000008128,-1.269303093054729
ENSG00000215790,-0.542175294742635
ENSG00000008130,0.7209204257499716
ENSG00000078369,8.73509299210858
ENSG00000231050,-0.9199564814423546
ENSG00000169885,0.753846153846151
ENSG00000178821,nan
ENSG00000142609,-1.3656658044909085
ENSG00000233542,nan
ENSG00000187730,-0.49305624695863515
ENSG00000226969,nan
ENSG00000067606,3.4214643262012108
ENSG00000271806,-0.33217242949791836
ENSG00000182873,-1.1098537085399365
ENSG00000162585,10.670756213405642
ENSG00000234396,1.390113394866241
ENSG00000157933,-0.4468351537601402
ENSG00000287356,2.5883192986456667
ENSG00000116151,21.794680583097247
